AOP,description,competitor #1,competitor #2,competitor #3,competitor #4,competitor #5
0001,Upisani a neuplaćeni kapital,0,0,0,0,0
0002,STALNA IMOVINA,160770,87822,253512,17935,467292
0003,NEMATERIJALNA IMOVINA,84,225,0,0,1072
0004,Ulaganja u razvoj,0,0,0,0,967
0005,"Koncesije, patenti, licence, robne i uslužne marke, softver i ostala nematerijalna imovina",84,225,0,0,105
0006,Gudvil,0,0,0,0,0
0007,Nematerijalna imovina uzeta u lizing i nematerijalna imovina u pripremi,0,0,0,0,0
0008,Avansi za nematerijalnu imovinu,0,0,0,0,0
0009,"NEKRETNINE, POSTROJENJA I OPREMA",154234,66559,253512,15135,273228
0010,Zemljište i građevinski objekti,47530,58293,220158,0,160595
0011,Postrojenja i oprema,20637,8266,19471,10366,75552
0012,Investicione nekretnine,26181,0,0,0,0
0013,"Nekretnine, postrojenja i oprema uzeti u lizing i nekretnine, postrojenja i oprema u pripremi",59835,0,13883,4769,35090
0014,"Ostale nekretnine, postrojenja i oprema i ulaganja na tuđim nekretninama, postrojenjima i opremi",51,0,0,0,1991
0015,"Avansi za nekretnine, postrojenja i opremu u zemlji",0,0,0,0,0
0016,"Avansi za nekretnine, postrojenja i opremu u inostranstvu",0,0,0,0,0
0017,Biološka sredstva,0,0,0,0,0
0018,DUGOROČNI FINANSIJSKI PLASMANI I DUGOROČNA POTRAŽIVANJA,6452,21038,0,2800,192992
0019,Učešća u kapitalu pravnih lica (osim učešća u kapitalu koja se vrednuju metodom učešća),5843,0,0,0,1
0020,Učešća u kapitalu koja se vrednuju metodom učešća,0,0,0,0,192991
0021,"Dugoročni plasmani matičnom, zavisnim i ostalim povezanim licima i dugoročna potraživanja od tih lica u zemlji",0,21038,0,0,0
0022,"Dugoročni plasmani matičnom, zavisnim i ostalim povezanim licima i dugoročna potraživanja od tih lica u inostranstvu",0,0,0,0,0
0023,Dugoročni plasmani (dati krediti i zajmovi) u zemlji,0,0,0,0,0
0024,Dugoročni plasmani (dati krediti i zajmovi) u inostranstvu,0,0,0,0,0
0025,Dugoročna finansijska ulaganja (hartije od vrednosti koje se vrednuju po amortizovanoj vrednosti),0,0,0,0,0
0026,Otkupljene sopstvene akcije i otkupljeni sopstveni udeli,0,0,0,0,0
0027,Ostali dugoročni finansijski plasmani i ostala dugoročna potraživanja,609,0,0,2800,0
0028,Dugoročna aktivna vremenska razgraničenja,0,0,0,0,0
0029,Odložena poreska sredstva,3376,297,314,11969,1783
0030,OBRTNA IMOVINA,3081736,146694,802163,929726,2731654
0031,ZALIHE,1127754,44644,278886,228447,961761
0032,"Materijal, rezervni delovi, alat i sitan inventar",3335,0,939,0,0
0033,Nedovršena proizvodnja i gotovi proizvodi,57645,0,493,0,0
0034,Roba,902897,44568,252429,224491,109056
0035,Plaćeni avansi za zalihe i usluge u zemlji,129021,76,4634,3956,746976
0036,Plaćeni avansi za zalihe i usluge u inostranstvu,34856,0,20391,0,105729
0037,Stalna imovina koja se drži za prodaju i prestanak poslovanja,20983,0,0,0,0
0038,POTRAŽIVANJA PO OSNOVU PRODAJE,1433658,60266,421751,384396,1202431
0039,Potraživanja od kupaca u zemlji,1411108,59727,421461,176552,735380
0040,Potraživanja od kupaca u inostranstvu,0,0,278,36907,209399
0041,"Potraživanja od matičnog, zavisnih i ostalih povezanih lica u zemlji",22550,539,12,0,257652
0042,"Potraživanja od matičnog, zavisnih i ostalih povezanih lica u inostranstvu",0,0,0,170937,0
0043,Ostala potraživanja po osnovu prodaje,0,0,0,0,0
0044,OSTALA KRATKOROČNA POTRAŽIVANJA,2149,2271,3209,73408,105024
0045,Ostala potraživanja,2149,1149,104,53975,105010
0046,Potraživanja za više plaćen porez na dobitak,0,1122,3105,19433,0
0047,Potraživanja po osnovu preplaćenih ostalih poreza i doprinosa,0,0,0,0,14
0048,KRATKOROČNI FINANSIJSKI PLASMANI,394177,0,0,0,1336
0049,Kratkoročni krediti i plasmani - matično i zavisna pravna lica,0,0,0,0,0
0050,2. kratkoročni krediti i plasmani - ostala povezana lica,0,0,0,0,0
0051,"Kratkoročni krediti, zajmovi i plasmani u zemlji",9177,0,0,0,0
0052,"Kratkoročni krediti, zajmovi i plasmani u inostranstvu",0,0,0,0,0
0053,Hartije od vrednosti koje se vrednuju po amortizovanoj vrednosti,0,0,0,0,0
0054,Finansijska sredstva koja se vrednuju po fer vrednosti kroz bilans uspeha,0,0,0,0,0
0055,Otkupljene sopstvene akcije i otkupljeni sopstveni udeli,0,0,0,0,0
0056,Ostali kratkoročni finansijski plasmani,385000,0,0,0,1336
0057,Gotovina i gotovinski ekvivalenti,99800,39513,86140,243475,400384
0058,Kratkoročna aktivna vremenska razgraničenja,3215,0,12177,0,60718
0059,UKUPNA AKTIVA,3245882,234813,1055989,959630,3200729
0060,Vanbilansna aktiva,983274,45289,0,2176,0
0401,KAPITAL,1755608,174024,560908,443427,658991
0402,Osnovni kapital,27276,51,19067,74500,16998
0403,Upisani a neuplaćeni kapital,0,0,0,0,0
0404,Emisiona premija,0,0,0,0,0
0405,Rezerve,1399,0,200607,288761,756
0406,Pozitivne revalorizacione rezerve i nerealizovani dobici po osnovu finansijskih sredstava i drugih komponenti ostalog sveobuhvatnog rezultata,0,0,0,0,0
0407,Nerealizovani gubici po osnovu finansijskih sredstava i drugih komponenti ostalog sveobuhvatnog rezultata,0,0,1762,0,0
0408,NERASPOREĐENI DOBITAK,1726933,173973,342996,80166,641237
0409,Neraspoređeni dobitak ranijih godina,1278452,136087,276265,0,511714
0410,Neraspoređeni dobitak tekuće godine,448481,37886,66731,80166,129523
0411,Učešće bez prava kontrole,0,0,0,0,0
0412,GUBITAK,0,0,0,0,0
0413,Gubitak ranijih godina,0,0,0,0,0
0414,Gubitak tekuće godine,0,0,0,0,0
0415,DUGOROČNA REZERVISANJA I DUGOROČNE OBAVEZE,35831,4167,84309,0,180617
0416,DUGOROČNA REZERVISANJA,3164,0,0,0,0
0417,Rezervisanja za naknade i druge beneficije zaposlenih,3164,0,0,0,0
0418,Rezervisanja za troškove u garantnom roku,0,0,0,0,0
0419,Ostala dugoročna rezervisanja,0,0,0,0,0
0420,DUGOROČNE OBAVEZE,32667,4167,84309,0,180617
0421,Obaveze koje se mogu konvertovati u kapital,0,0,0,0,0
0422,"Dugoročni krediti i ostale dugoročne obaveze prema matičnom, zavisnim i ostalim povezanim licima u zemlji",0,0,0,0,0
0423,"Dugoročni krediti i ostale dugoročne obaveze prema matičnom, zavisnim i ostalim povezanim licima u inostranstvu",0,0,0,0,0
0424,"Dugoročni krediti, zajmovi i obaveze po osnovu lizinga u zemlji",25431,4167,84309,0,180617
0425,"Dugoročni krediti, zajmovi i obaveze po osnovu lizinga u inostranstvu",0,0,0,0,0
0426,Obaveze po emitovanim hartijama od vrednosti,0,0,0,0,0
0427,Ostale dugoročne obaveze,7236,0,0,0,0
0428,Dugoročna pasivna vremenska razgraničenja,0,0,0,0,0
0429,Odložene poreske obaveze,0,0,379,0,0
0430,Dugoročni odloženi prihodi i primljene donacije,0,0,0,0,0
0431,KRATKOROČNA REZERVISANJA I KRATKOROČNE OBAVEZE,1454443,56622,410393,516203,2361121
0432,Kratkoročna rezervisanja,0,0,0,0,0
0433,KRATKOROČNE FINANSIJSKE OBAVEZE,37155,12933,164732,0,957922
0434,"Obaveze po osnovu kredita prema matičnom, zavisnim i ostalim povezanim licima u zemlji",0,0,0,0,0
0435,"Obaveze po osnovu kredita prema matičnom, zavisnim i ostalim povezanim licima u inostranstvu",0,0,0,0,0
0436,Obaveze po osnovu kredita i zajmova od lica koja nisu domaće banke,26364,0,0,0,6778
0437,Obaveze po osnovu kredita od domaćih banaka,10791,12933,164732,0,951144
0438,"Krediti, zajmovi i obaveze iz inostranstva",0,0,0,0,0
0439,Obaveze po kratkoročnim hartijama od vrednosti,0,0,0,0,0
0440,Obaveze po osnovu finansijskih derivata,0,0,0,0,0
0441,"Primljeni avansi, depoziti i kaucije",255023,11,21316,15316,767392
0442,OBAVEZE IZ POSLOVANJA,999478,41024,212165,319828,624172
0443,"Obaveze prema dobavljačima - matična, zavisna pravna lica i ostala povezana lica u zemlji",14437,4131,0,0,62730
0444,"Obaveze prema dobavljačima - matična, zavisna pravna lica i ostala povezana lica u inostranstvu",0,0,0,311073,1631
0445,Obaveze prema dobavljačima u zemlji,944491,36893,189937,5001,405685
0446,Obaveze prema dobavljačima u inostranstvu,40450,0,22228,3754,154126
0447,Obaveze po menicama,0,0,0,0,0
0448,Ostale obaveze iz poslovanja,100,0,0,0,0
0449,OSTALE KRATKOROČNE OBAVEZE,152753,2599,12180,40089,4207
0450,Ostale kratkoročne obaveze,76847,17,462,8694,296
0451,Obaveze po osnovu poreza na dodatu vrednost i ostalih javnih prihoda,30025,2582,11718,9403,231
0452,Obaveze po osnovu poreza na dobitak,45881,0,0,21992,3680
0453,Obaveze po osnovu sredstava namenjenih prodaji i sredstava poslovanja koje je obustavljeno,0,0,0,0,0
0454,Kratkoročna pasivna vremenska razgraničenja,10034,55,0,140970,7428
0455,Gubitak iznad visine kapitala,0,0,0,0,0
0456,UKUPNA PASIVA,3245882,234813,1055989,959630,3200729
0457,Vanbilansna pasiva,983274,45289,0,2176,0
1001,POSLOVNI PRIHODI,7259756,621024,2069996,1207919,3365172
1002,PRIHODI OD PRODAJE ROBE,5460805,603518,2009706,923971,2794148
1003,Prihodi od prodaje robe na domaćem tržištu,5460805,603518,2009158,771459,2395054
1004,Prihodi od prodaje roba na inostranom tržištu,0,0,548,152512,399094
1005,PRIHODI OD PRODAJE PROIZVODA I USLUGA,1771212,0,30449,283948,561883
1006,Prihodi od prodaje proizvoda i usluga na domaćem tržištu,1771060,0,29997,182231,320759
1007,Prihodi od prodaje proizvoda i usluga na inostranom tržištu,152,0,452,101717,241124
1008,Prihodi od aktiviranja učinaka i robe,0,0,684,0,0
1009,Povećanje vrednosti zaliha nedovršenih i gotovih proizvoda,22972,0,0,0,0
1010,Smanjenje vrednosti zaliha nedovršenih i gotovih proizvoda,0,0,0,0,0
1011,Ostali poslovni prihodi,4767,17506,29157,0,9141
1012,Prihodi od usklađivanja vrednosti imovine (osim finansijske),0,0,0,0,0
1013,POSLOVNI RASHODI,7038325,575765,1968567,1094900,3137193
1014,Nabavna vrednost prodate robe,5041048,506095,1730744,852155,2341124
1015,"Troškovi materijala, goriva i energije",420241,3791,51966,10873,11210
1016,"TROŠKOVI ZARADA, NAKNADA ZARADA I OSTALI LIČNI RASHODI",298047,47845,111468,90569,172016
1017,Troškovi zarada i naknada zarada,247893,41797,97087,75940,139057
1018,Troškovi poreza i doprinosa na zarade i naknade zarada,31508,5393,8975,10005,11980
1019,Ostali lični rashodi i naknade,18646,655,5406,4624,20979
1020,Troškovi amortizacije,38190,2552,13437,2980,29817
1021,Rashodi od usklađivanja vrednosti imovine (osim finansijske),0,0,1403,47695,0
1022,Troškovi proizvodnih usluga,1204588,7755,45462,47256,526515
1023,Troškovi rezervisanja,612,0,0,0,0
1024,Nematerijalni troškovi,35599,7727,14087,43372,56511
1025,POSLOVNI DOBITAK,221431,45259,101429,113019,227979
1026,POSLOVNI GUBITAK,0,0,0,0,0
1027,FINANSIJSKI PRIHODI,5402,0,2307,2266,2204
1028,"Finansijski prihodi iz odnosa sa matičnim, zavisnim i ostalim povezanim licima",12,0,0,1986,0
1029,Prihodi od kamata,5067,0,1625,0,1032
1030,Pozitivne kursne razlike i pozitivni efekti valutne klauzule,323,0,682,280,1172
1031,Ostali finansijski prihodi,0,0,0,0,0
1032,FINANSIJSKI RASHODI,4444,844,18458,24418,80161
1033,"Finansijski rashodi iz odnosa sa matičnim, zavisnim i ostalim povezanim licima",0,0,0,6109,0
1034,Rashodi kamata,3518,844,17298,71,79325
1035,Negativne kursne razlike i negativni efekti valutne klauzule,453,0,1160,16586,836
1036,Ostali finansijski rashodi,473,0,0,1652,0
1037,DOBITAK IZ FINANSIRANJA,958,0,0,0,0
1038,GUBITAK IZ FINANSIRANJA,0,844,16151,22152,77957
1039,Prihodi od usklađivanja vrednosti finansijske imovine koja se iskazuje po fer vrednosti kroz bilans uspeha,3700,0,0,0,0
1040,Rashodi od usklađivanja vrednosti finansijske imovine koja se iskazuje po fer vrednosti kroz bilans uspeha,82469,0,0,0,0
1041,Ostali prihodi,408494,2423,878,1199,4736
1042,Ostali rashodi,19446,2384,6687,781,1960
1043,UKUPNI PRIHODI,7677352,623447,2073181,1211384,3372112
1044,UKUPNI RASHODI,7144684,578993,1993712,1120099,3219314
1045,DOBITAK IZ REDOVNOG POSLOVANJA PRE OPOREZIVANJA,532668,44454,79469,91285,152798
1046,GUBITAK IZ REDOVNOG POSLOVANJA PRE OPOREZIVANJA,0,0,0,0,0
1047,"POZITIVAN NETO EFEKAT NA REZULTAT PO OSNOVU DOBITKA POSLOVANJA KOJE SE OBUSTAVLJA, PROMENA RAČUNOVODSTVENIH POLITIKA I ISPRAVKI GREŠAKA IZ RANIJIH PERIODA",0,1,0,3648,0
1048,"NEGATIVAN NETO EFEKAT NA REZULTAT PO OSNOVU GUBITKA POSLOVANJA KOJE SE OBUSTAVLJA, PROMENA RAČUNOVODSTVENIH POLITIKA I ISPRAVKI GREŠAKA IZ RANIJIH PERIODA",0,0,0,0,0
1049,DOBITAK PRE OPOREZIVANJA,532668,44455,79469,94933,152798
1050,GUBITAK PRE OPOREZIVANJA,0,0,0,0,0
1051,Poreski rashod perioda,83285,6610,12738,21992,24042
1052,Odloženi poreski rashodi perioda,902,0,0,0,0
1053,Odloženi poreski prihodi perioda,0,41,0,7225,767
1054,ISPLAĆENA LIČNA PRIMANJA POSLODAVCA,0,0,0,0,0
1055,NETO DOBITAK,448481,37886,66731,80166,129523
1056,NETO GUBITAK,0,0,0,0,0
1057,Neto dobitak koji pripada učešćima bez prava kontrole,0,0,0,0,0
1058,Neto dobitak koji pripada matičnom pravnom licu,0,0,0,0,0
1059,Neto gubitak koji pripada učešćima bez prava kontrole,0,0,0,0,0
1060,Neto gubitak koji pripada matičnom pravnom licu,0,0,0,0,0
1061,Osnovna zarada po akciji,0,0,0,0,0
1062,Umanjena (razvodnjena) zarada po akciji,0,0,0,0,0
9005,Prosečan broj zaposlenih na osnovu stanja krajem svakog meseca (ceo broj),145,20,35,17,39
